,? ,,,?,,,?,,,?,,
A,Einstein,write,board,Velvet,scratch,claw,Akira,cough,apron,Yu,carry,bag
2,Arnold,lift,weights,Laphicet,dream,compass,Ann,pose,parfait,Yosuke,eat,steak
3,Bill Gates,walk,Xbox,Eizen,punch,bracelet,Ryuji,run,ramen,Chie,kick,dvd
4,Steve Jobs,throw,iPhone,Rokurou,jump,sword,Yusuke,draw,painting,Yukiko,fan,fan
5,Warren Buffet,sit,stock chart,Magilou,dance,magi's hat,Morgana,meow,cat,Teddie,flip,glasses
6,Larry Ellison,point,hard disk,Eleanor,hold,flower,Haru,drink,tea,Kanji,sew,doll
7,Pastuer,stims,dog,Zavied,handstand,fedora,Makoto,yell,fist,Rise,sing,bottle
8,Hitler,salute,svastika,Edna,spin,umbrella,Hifumi ,blush,chess piece,Naoto,shoot,gun
9,Wright,fly,airplane,Sorey,talk,boar,Sae,bang,gavel,Nanako,wash,dish
10,Michael Jackson,moonwalk,microphone,Mikleo,knock,staff,Sojiro,cook,coffee,Ryotaro,inspect,notebook
J,Pewdiepie,twerk,headphone,Rose,sleep,knife,Christine & Justine,cut,guillotine,Fox,howl,talisman
Q,Monroe,kiss,dress,Lailah,sneeze,fire,Lavenza,sparkle,butterfly,Margaret,pour,book
K,Chris Ramsay,shuffle,cards,Alisha,smile,spear,Igor,tap,desk,Tanaka,clap,fishing rod
